freq,p_adj,unit,product,geo\TIME_PERIOD	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,NI,I15,203000,EE	100.00 	91.99 	84.84 	83.08 	86.38 	86.11 	97.24 	150.20 	134.32 e
A,NI,I15,203000,EL	100.00 	99.64 	97.01 	97.33 	98.27 	97.78 	104.09 	159.85 	169.33 e
A,NI,I15,203000,ES	100.00 	91.80 	87.60 	91.00 	96.80 	91.00 	116.40 	202.77 	164.39 e
A,NI,I15,203000,EU27_2020	100.00 	90.87 	90.96 	91.50 	96.35 p	91.09 p	116.00 	220.27 	170.70 e
A,NI,I15,203000,EU28	100.00 	90.06 	90.83 	92.40 	97.07 p	: 	: 	: 	: 
A,NI,I15,203000,FI	100.00 	86.23 	87.59 	89.45 	91.35 	83.84 	119.55 	217.25 	133.51 e
A,NI,I15,203000,FR	100.00 	88.90 	86.23 	90.33 	94.02 	87.77 	116.08 	202.86 	153.42 e
A,NI,I15,203000,HR	: c	: c	: c	: c	: c	: c	: c	: c	154.26 e
A,NI,I15,203000,HU	100.00 	87.40 	81.40 	84.50 	91.20 	83.30 	131.40 	337.00 	212.35 e
A,NI,I15,203000,IE	100.00 	86.19 	81.47 	86.36 	90.85 	81.32 	101.76 	226.86 	157.93 e
A,NI,I15,203000,IT	100.00 	94.00 	92.10 	93.50 	94.60 	92.60 	112.10 	183.30 	150.60 e
A,NI,I15,203000,LT	100.00 	79.79 	80.51 	81.39 	85.71 	82.05 	113.82 	274.33 	185.39 e
A,NI,I15,203000,LU	100.00 	76.97 	77.67 	80.76 	87.34 	75.05 	123.88 	270.15 	145.17 e
A,NI,I15,203000,LV	100.00 	93.79 	89.06 	92.41 	96.16 	94.10 	114.12 	259.11 	161.50 e
A,NI,I15,203000,MT	100.00 	92.41 	92.49 	92.92 	93.83 	95.22 	124.38 	232.93 	254.73 e
A,NI,I15,203000,NL	100.00 	83.50 	81.00 	85.10 	89.30 	79.70 	120.20 	240.40 	188.80 e
A,NI,I15,203000,PL	100.00 	95.89 	94.19 	94.64 	101.11 	98.55 	119.71 p	230.73 	194.70 e
A,NI,I15,203000,PT	100.00 	100.72 	105.33 	109.51 	111.93 	107.55 	165.49 	314.27 	233.71 e
A,NI,I15,203000,RO	100.00 	94.41 	148.89 	98.84 	114.30 	102.36 	130.06 	220.33 	227.08 e
A,NI,I15,203000,SE	100.00 	85.20 	87.40 	95.90 	100.70 	88.60 	133.80 	294.51 	172.38 e
A,NI,I15,203000,SI	100.00 	88.67 	78.73 	83.63 	88.64 	81.78 	116.71 	247.36 	175.74 e
A,NI,I15,203000,SK	100.00 	89.02 	79.51 	79.08 	86.70 	78.75 	97.90 	234.65 	204.07 e
A,NI,I15,203000,UK	100.00 	82.58 	89.62 	100.79 	103.73 	91.30 f	: 	: 	: 
A,NI,I15,203100,AT	100.00 	85.80 	77.20 	82.10 	89.50 	81.40 	114.50 	243.10 	: 
A,NI,I15,203100,BE	100.00 	81.81 	82.12 	86.97 	85.81 	77.46 	135.19 	247.50 	142.12 e
A,NI,I15,203100,BG	100.00 	81.40 	78.80 	96.90 	102.00 	95.20 	135.20 	284.30 	: 
A,NI,I15,203100,CY	100.00 	103.53 	88.93 	80.13 	82.93 	82.01 	98.65 	163.77 	: 
A,NI,I15,203100,CZ	100.00 	84.60 	76.70 	77.20 	83.90 	78.50 	102.30 	198.50 	: 
